Price,Close,High,Low,Open,Volume,GMM_Label,Max_Prob
2014-06-13,25228.169921875,25688.310546875,25171.609375,25677.05078125,14700.0,1,0.9999785567747856
2014-06-16,25190.48046875,25268.41015625,25063.9296875,25239.5,12000.0,2,0.9874229652923122
2014-06-17,25521.189453125,25545.880859375,25104.5,25189.4609375,11300.0,1,0.9998441782792051
2014-06-18,25246.25,25609.279296875,25114.30078125,25565.189453125,13200.0,1,0.9985513890244645
2014-06-19,25201.80078125,25425.849609375,25069.66015625,25327.08984375,15200.0,2,0.9106368961687283
2014-06-20,25105.509765625,25276.310546875,25056.1796875,25237.5390625,8800.0,2,0.9925368035760215
2014-06-23,25031.3203125,25197.5,24878.66015625,25108.08984375,10200.0,2,0.9713548034431062
2014-06-24,25368.900390625,25414.689453125,25115.830078125,25115.830078125,9700.0,1,0.508406573071588
2014-06-25,25313.740234375,25427.80078125,25274.390625,25421.490234375,7700.0,2,0.9927985082822994
2014-06-26,25062.669921875,25309.330078125,25021.23046875,25217.689453125,10300.0,2,0.9652870707819049
2014-06-27,25099.919921875,25209.609375,25032.939453125,25132.080078125,10100.0,2,0.9948818816515377
2014-06-30,25413.779296875,25460.9609375,25179.55078125,25179.55078125,9500.0,2,0.7090198777597374
2014-07-01,25516.349609375,25571.900390625,25466.76953125,25469.939453125,10600.0,2,0.9806918392141148
2014-07-02,25841.2109375,25864.529296875,25660.16015625,25660.5703125,12300.0,2,0.9578984236798763
2014-07-03,25823.75,25999.080078125,25793.69921875,25875.75,3700.0,2,0.9902526318182079
2014-07-04,25962.060546875,25981.509765625,25659.330078125,25844.80078125,9500.0,1,0.5665087241424581
2014-07-07,26100.080078125,26123.55078125,25992.73046875,26039.669921875,8900.0,2,0.9895113888761164
2014-07-08,25582.109375,26190.439453125,25495.0390625,26166.919921875,12700.0,1,0.9999872666563284
2014-07-09,25444.810546875,25683.970703125,25364.76953125,25615.279296875,10500.0,2,0.9543301864624328
2014-07-10,25372.75,25920.4609375,25239.890625,25513.740234375,16900.0,1,0.9999679835611679
2014-07-11,25024.349609375,25548.330078125,24978.330078125,25488.859375,18600.0,1,0.9999950400763434
2014-07-14,25006.98046875,25095.759765625,24892.0,25093.16015625,11400.0,2,0.9825154385102655
2014-07-15,25228.650390625,25254.48046875,25020.3203125,25100.900390625,8100.0,2,0.980502251046892
2014-07-16,25549.720703125,25602.779296875,25246.75,25322.169921875,9600.0,1,0.7395709827745183
2014-07-17,25561.16015625,25613.029296875,25494.4609375,25540.919921875,21900.0,2,0.9764056981993264
2014-07-18,25641.560546875,25713.400390625,25441.240234375,25558.48046875,8300.0,2,0.9815392304706181
2014-07-21,25715.169921875,25861.150390625,25677.7109375,25776.5390625,7600.0,2,0.9932791297103039
2014-07-22,26025.80078125,26050.380859375,25780.390625,25784.48046875,8500.0,2,0.7595040098001273
2014-07-23,26147.330078125,26188.640625,26000.400390625,26130.259765625,8200.0,2,0.9895149253838298
2014-07-24,26271.849609375,26292.66015625,26077.69921875,26188.5,7800.0,2,0.9817517156054522
2014-07-25,26126.75,26300.169921875,26007.310546875,26257.140625,11100.0,2,0.9715332576511287
2014-07-28,25991.23046875,26181.830078125,25900.25,26173.470703125,7400.0,2,0.9666727257252378
2014-07-30,26087.419921875,26113.48046875,25850.0390625,26005.140625,9200.0,2,0.9302253953747786
2014-07-31,25894.970703125,26118.880859375,25853.689453125,26105.890625,9200.0,2,0.9683219199324035
2014-08-01,25480.83984375,25862.6796875,25459.130859375,25753.919921875,12700.0,1,0.9306933667346533
2014-08-04,25723.16015625,25754.419921875,25531.380859375,25631.6796875,7400.0,2,0.986719935457353
2014-08-05,25908.009765625,25928.3203125,25562.359375,25817.83984375,8800.0,1,0.9823011056662272
2014-08-06,25665.26953125,25901.6796875,25621.849609375,25892.55078125,6800.0,2,0.9607149388165358
2014-08-07,25589.009765625,25778.05078125,25526.05078125,25668.7109375,7100.0,2,0.9908593323484621
2014-08-08,25329.140625,25406.869140625,25232.8203125,25406.869140625,7500.0,2,0.9899952046992456
2014-08-11,25519.240234375,25553.439453125,25437.05078125,25476.869140625,6000.0,2,0.9933367856469313
2014-08-12,25880.76953125,25904.98046875,25645.7890625,25703.779296875,8100.0,2,0.9422409704606689
2014-08-13,25918.94921875,25972.619140625,25791.7890625,25861.470703125,8800.0,2,0.9933762031711565
2014-08-14,26103.23046875,26135.0,25945.349609375,25948.30078125,10100.0,2,0.9750501664822221
2014-08-18,26390.9609375,26413.109375,26075.279296875,26123.689453125,8200.0,1,0.8160938263991878
2014-08-19,26420.669921875,26530.669921875,26387.83984375,26482.560546875,10400.0,2,0.9889627969731061
2014-08-20,26314.2890625,26504.51953125,26277.609375,26496.2890625,8900.0,2,0.9827879264762625
